Type,Week,Density,Replicate,50 weight,Remaining 
AO,AO.1,0,1,0.0029,0.0075
AO,AO.1,0,2,0.0026,0.0229
AO,AO.1,0,3,0.0032,0.0093
AO,AO.1,0,4,0.0026,0.0081
AO,AO.1,2,1,0.0031,0.0059
AO,AO.1,2,2,0.0028,0.015
AO,AO.1,2,3,0.003,0.0067
AO,AO.1,2,4,0.0029,0.0067
AO,AO.1,6,1,0.0023,0.0065
AO,AO.1,6,2,0.0031,0.0088
AO,AO.1,6,3,0.0032,0.0081
AO,AO.1,6,4,0.003,0.011
AO,AO.1,20,1,0.0026,0.0073
AO,AO.1,20,2,0.0029,0.0084
AO,AO.1,20,3,0.0027,0.0079
AO,AO.1,20,4,0.0027,0.003
AO,AO.1,50,1,0.0032,0.0058
AO,AO.1,50,2,0.0027,0.003
AO,AO.1,50,3,NA,NA
AO,AO.1,50,4,0.0033,0.0085
AO,AO.1,75,1,0.0029,0.0073
AO,AO.1,75,2,0.0022,0.0087
AO,AO.1,75,3,0.0027,0.0082
AO,AO.1,75,4,0.0025,0.0055
AO,AO.1,100,1,0.0028,0.0032
AO,AO.1,100,2,0.0031,0.0043
AO,AO.1,100,3,0.0028,0.0104
AO,AO.1,100,4,0.003,0.0084
AO,AO.1,150,1,0.0028,0.0057
AO,AO.1,150,2,0.0032,0.0086
AO,AO.1,150,3,0.0032,0.0065
AO,AO.1,150,4,0.0037,0.0123
AO,AO.2,0,1,0.0027,0.0063
AO,AO.2,0,2,0.0033,0.0071
AO,AO.2,0,3,0.0026,0.0085
AO,AO.2,0,4,0.0029,0.0065
AO,AO.2,2,1,0.0027,0.0065
AO,AO.2,2,2,0.0034,0.0071
AO,AO.2,2,3,0.0026,0.0077
AO,AO.2,2,4,0.0028,0.0048
AO,AO.2,6,1,0.003,0.0065
AO,AO.2,6,2,0.0029,0.0056
AO,AO.2,6,3,0.0031,0.0067
AO,AO.2,6,4,0.0028,0.005
AO,AO.2,20,1,0.0026,0.0057
AO,AO.2,20,2,0.0028,0.0079
AO,AO.2,20,3,0.0023,0.0074
AO,AO.2,20,4,0.0028,0.0028
AO,AO.2,50,1,0.0028,0.0071
AO,AO.2,50,2,0.0027,0.0053
AO,AO.2,50,3,0.0022,0.0043
AO,AO.2,50,4,0.0028,0.0073
AO,AO.2,75,1,0.0032,0.0078
AO,AO.2,75,2,0.0026,0.0061
AO,AO.2,75,3,0.0025,0.0096
AO,AO.2,75,4,0.0029,0.0077
AO,AO.2,100,1,0.0026,0.0039
AO,AO.2,100,2,0.0026,0.0063
AO,AO.2,100,3,0.0029,0.0073
AO,AO.2,100,4,0.0029,0.0068
AO,AO.2,150,1,0.0022,0.007
AO,AO.2,150,2,0.0033,0.0023
AO,AO.2,150,3,0.0027,0.0058
AO,AO.2,150,4,0.0027,0.0066
AO,AO.3,0,1,0.0027,0.0073
AO,AO.3,0,2,0.0029,0.0039
AO,AO.3,0,3,0.0028,0.0067
AO,AO.3,0,4,0.0026,0.0093
AO,AO.3,2,1,0.0025,0.0023
AO,AO.3,2,2,0.0028,0.0081
AO,AO.3,2,3,0.0025,0.0052
AO,AO.3,2,4,0.0025,0.0049
AO,AO.3,6,1,0.0029,0.0022
AO,AO.3,6,2,NA,NA
AO,AO.3,6,3,0.0028,0.0025
AO,AO.3,6,4,0.0028,0.0079
AO,AO.3,20,1,0.0027,0.0103
AO,AO.3,20,2,0.0029,0.0034
AO,AO.3,20,3,0.0029,0.0067
AO,AO.3,20,4,0.0027,0.0067
AO,AO.3,50,1,0.0025,0.0056
AO,AO.3,50,2,0.0027,0.0052
AO,AO.3,50,3,0.0028,0.0099
AO,AO.3,50,4,0.0026,0.0073
AO,AO.3,75,1,0.0031,0.0094
AO,AO.3,75,2,0.0031,0.0068
AO,AO.3,75,3,0.0029,0.009
AO,AO.3,75,4,0.0029,0.0068
AO,AO.3,100,1,0.0028,0.0037
AO,AO.3,100,2,0.0027,0.0062
AO,AO.3,100,3,0.0029,0.0071
AO,AO.3,100,4,0.0027,0.0028
AO,AO.3,150,1,0.003,0.0064
AO,AO.3,150,2,0.0028,0.0083
